source_id,source_name,source_url,source_type,source_date,citation_text,reliability_score
icrc_sudan,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan,humanitarian agency,2026-07-02,"ICRC reports on humanitarian assistance, health facility support, displacement response, and field operations in Sudan; provides verified casualty and health system impact data.",0.94
who_sudan_health,WHO Sudan Health Cluster,https://www.emro.who.int/sudan/,health agency,2026-07-12,"WHO provides health system assessments, disease surveillance, and health facility operational status in Sudan.",0.93
unhcr_sudan_ref,UNHCR Sudan Refugee and Displacement Response,https://www.unhcr.org/sudan,refugee agency,2026-07-12,"UNHCR provides verified displacement figures, refugee movement data, and camp operational information.",0.92
unocha_sudan_hum,UN OCHA Sudan Humanitarian Coordination,https://www.unocha.org/sudan,humanitarian coordinator,2026-07-12,UN OCHA Sudan provides comprehensive situation reports and humanitarian response coordination.,0.91
acled_sudan_conf,ACLED Sudan Conflict Events Database,https://acleddata.com/,conflict event database,2026-07-12,"ACLED provides structured conflict event data including armed clashes, violence patterns and locations.",0.89
batch_note_icrc_acled,Phase 2 batch note - ICRC/ACLED heavy extraction,https://github.com/Farhanillahiclass/CIVID-Civilian-Impact-Verified-Incident-Dataset,internal_note,2026-07-13,This extraction batch relied primarily on ICRC and ACLED sources after ReliefWeb/WHO/UNHCR pages were inaccessible to automated fetch; diversify sources in future batches.,0.50
unocha_sudan_hum2,UN OCHA Sudan Situation Report,https://www.unocha.org/sudan,humanitarian coordinator,2026-07-12,"UN OCHA Sudan situation reports on displacement, civilian casualties, and humanitarian access.",0.91
who_sudan_health2,WHO Sudan Health Cluster,https://www.emro.who.int/sudan/,health agency,2026-07-12,"WHO Sudan Health Cluster updates on health facility functionality, disease surveillance, and cholera.",0.93
SRC-S012,Reuters,https://www.reuters.com/world/africa/rsf-commander-yagoub-mousa-killed-sudan-fighting-2024-02-28/,news agency,2024-02-28,"Reuters: a senior RSF commander, Yagoub Ibrahim Mousa, was killed in fighting near Wad Madani in February 2024.",0.90
SRC-S013,Sudan War Monitor,https://twitter.com/SudanWarMonitor,conflict monitor,2024-02-28,Sudan War Monitor corroborated the death of RSF commander Yagoub Ibrahim Mousa near Wad Madani.,0.82
SRC-S014,Reuters,https://www.reuters.com/world/africa/sudan-paramilitary-rsf-loses-senior-commander-khartoum-2023-11-13/,news agency,2023-11-13,"Reuters: the RSF lost a senior Khartoum-area commander, Abdel Rahman Abu Mousa, in fighting in November 2023.",0.90
SRC-S015,Sudanese sources,https://www.unocha.org/sudan,humanitarian coordinator,2023-11-13,Sudanese reporting corroborated the death of RSF commander Abdel Rahman Abu Mousa.,0.80
