phase,country,conflict_name,event_id,event_date,derived_year,derived_month,location,location_type,fatalities,injuries,missing,verification_status,confidence_level,reliability_score,derived_is_aggregate,derived_missing_data_flag,derived_ambiguity_flag,derived_needs_review,derived_timeline_order,source_name,source_url
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-037,2023-11-12,2023,2023-11,Khartoum,territory,1,,,verified,high,0.90,false,false,false,false,1,Reuters,https://www.reuters.com/world/africa/sudan-paramilitary-rsf-loses-senior-commander-khartoum-2023-11-13/
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-036,2024-02-27,2024,2024-02,Wad Madani,area,1,,,verified,high,0.90,false,false,false,false,2,Reuters,https://www.reuters.com/world/africa/rsf-commander-yagoub-mousa-killed-sudan-fighting-2024-02-28/
phase3_iran,Iran,Iran-Israel Twelve-Day War,EVT-003,2025-06-13,2025,2025-06,Tehran (command center strike),facility,,,,verified,high,0.89,false,true,false,false,3,ACLED Iran Crisis,https://acleddata.com/iran-crisis-live
phase3_iran,Iran,Iran-Israel Twelve-Day War,EVT-004,2025-06-13,2025,2025-06,Tehran / multiple provinces,territory,,,,verified,high,0.89,false,true,false,false,4,ACLED Iran Crisis,https://acleddata.com/iran-crisis-live
phase3_iran,Iran,Iran-Israel Twelve-Day War,EVT-005,2025-06-13,2025,2025-06,Tehran (fuel/logistics sites),infrastructure,9,,,verified,medium,0.85,false,false,false,false,5,Human Rights Activists in Iran (HRANA),https://www.en-hrana.org/twelve-days-under-fire-a-comprehensive-report-on-the-iran-israel-war/
phase3_iran,Iran,Iran-Israel Twelve-Day War,EVT-001,2025-06-24,2025,2025-06,Iran (nationwide),territory,1060,4000,,verified,medium,0.88,true,false,false,false,6,Iran Ministry of Health,https://www.iranintl.com/
phase3_iran,Iran,Iran-Israel Twelve-Day War,EVT-002,2025-06-28,2025,2025-06,Iran (nationwide),territory,1190,4475,,verified,medium,0.85,true,false,false,false,7,Human Rights Activists in Iran (HRANA),https://www.en-hrana.org/twelve-days-under-fire-a-comprehensive-report-on-the-iran-israel-war/
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-036,2025-10-03,2025,2025-10,Gaza Strip,territory,67075,169430,,verified,medium,0.90,true,false,false,false,8,Gaza Ministry of Health (MoH),https://www.ochaopt.org/
phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-030,2025-12-31,2025,2025-12,Khartoum,infrastructure,,,,verified,high,0.94,false,true,false,false,9,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-010,2026-01-01,2026,2026-01,West Bank - multiple communities,territory,,,,verified,high,0.95,false,true,false,false,10,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026
phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-039,2026-01-15,2026,2026-01,Gaza Strip (winter storm),Gaza-wide,31,34,,verified,high,0.95,true,false,false,false,11,OCHA oPt Gaza Humanitarian Response SitRep #62,https://www.unocha.org/publications/report/occupied-palestinian-territory/gaza-humanitarian-response-situation-report-no-62
