record_id,legacy_record_id,phase,phase_dir,country,conflict_name,event_id,derived_global_event_key,event_date,location,location_type,source_id,source_name,source_url,source_type,source_date,reliability_score,fatalities,injuries,missing,verification_status,confidence_level,derived_year,derived_month,derived_timeline_order,derived_is_aggregate,derived_missing_data_flag,derived_ambiguity_flag,derived_needs_review,citation_text,notes
18,REC-S105,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-037,phase2_sudan/EVT-037,2023-11-12,Khartoum,territory,SRC-S014,Reuters,https://www.reuters.com/world/africa/sudan-paramilitary-rsf-loses-senior-commander-khartoum-2023-11-13/,news agency,2023-11-13,0.90,1,,,verified,high,2023,2023-11,1,false,false,false,false,RSF senior Khartoum-area commander Abdel Rahman Abu Mousa killed in fighting in November 2023 (Reuters). Confirmed leader death; linked to leader LDR-019.,RSF senior Khartoum-area commander Abdel Rahman Abu Mousa killed in fighting in November 2023 (Reuters). Confirmed leader death; linked to leader LDR-019.
17,REC-S104,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-036,phase2_sudan/EVT-036,2024-02-27,Wad Madani,area,SRC-S012,Reuters,https://www.reuters.com/world/africa/rsf-commander-yagoub-mousa-killed-sudan-fighting-2024-02-28/,news agency,2024-02-28,0.90,1,,,verified,high,2024,2024-02,2,false,false,false,false,RSF senior commander Yagoub Ibrahim Mousa killed in fighting near Wad Madani on 27 Feb 2024 (Reuters). Confirmed leader death; linked to leader LDR-018.,RSF senior commander Yagoub Ibrahim Mousa killed in fighting near Wad Madani on 27 Feb 2024 (Reuters). Confirmed leader death; linked to leader LDR-018.
3,3,phase3_iran,phase3_iran,Iran,Iran-Israel Twelve-Day War,EVT-003,phase3_iran/EVT-003,2025-06-13,Tehran (command center strike),facility,acled_ir,ACLED Iran Crisis,https://acleddata.com/iran-crisis-live,conflict event database,2026-07-16,0.89,,,,verified,high,2025,2025-06,3,false,true,false,false,"Israeli strike on an underground command center killed most of the IRGC Aerospace Force leadership convened for a meeting, including commander Amir Ali Hajizadeh (IDF; corroborated by ACLED/HRANA).","Israeli strike on an underground command center killed most of the IRGC Aerospace Force leadership convened for a meeting, including commander Amir Ali Hajizadeh (IDF; corroborated by ACLED/HRANA)."
4,4,phase3_iran,phase3_iran,Iran,Iran-Israel Twelve-Day War,EVT-004,phase3_iran/EVT-004,2025-06-13,Tehran / multiple provinces,territory,acled_ir,ACLED Iran Crisis,https://acleddata.com/iran-crisis-live,conflict event database,2026-07-16,0.89,,,,verified,high,2025,2025-06,4,false,true,false,false,ACLED: Israel carried out nearly 360 attacks across 27 Iranian provinces over 12 days; over 150 strikes on military targets. Intensity concentrated in Tehran province.,ACLED: Israel carried out nearly 360 attacks across 27 Iranian provinces over 12 days; over 150 strikes on military targets. Intensity concentrated in Tehran province.
5,5,phase3_iran,phase3_iran,Iran,Iran-Israel Twelve-Day War,EVT-005,phase3_iran/EVT-005,2025-06-13,Tehran (fuel/logistics sites),infrastructure,hrana_ir,Human Rights Activists in Iran (HRANA),https://www.en-hrana.org/twelve-days-under-fire-a-comprehensive-report-on-the-iran-israel-war/,human rights monitor,2025-06-28,0.85,9,,,verified,medium,2025,2025-06,5,false,false,false,false,"HRANA verified reports: deaths of 4 fuel depot workers, 2 tanker drivers, and 3 factory guards in strikes on peripheral Tehran infrastructure; dozens more injured.","HRANA verified reports: deaths of 4 fuel depot workers, 2 tanker drivers, and 3 factory guards in strikes on peripheral Tehran infrastructure; dozens more injured."
1,1,phase3_iran,phase3_iran,Iran,Iran-Israel Twelve-Day War,EVT-001,phase3_iran/EVT-001,2025-06-24,Iran (nationwide),territory,iran_moh_ir,Iran Ministry of Health,https://www.iranintl.com/,government health authority,2025-06-24,0.88,1060,4000,,verified,medium,2025,2025-06,6,true,false,false,false,"AGGREGATE (reported-by-Iran Ministry of Health, 24 Jun 2025): 1,060 killed, 5,800 injuries in the Twelve-Day War. Recorded as aggregate.","AGGREGATE (reported-by-Iran Ministry of Health, 24 Jun 2025): 1,060 killed, 5,800 injuries in the Twelve-Day War. Recorded as aggregate."
2,2,phase3_iran,phase3_iran,Iran,Iran-Israel Twelve-Day War,EVT-002,phase3_iran/EVT-002,2025-06-28,Iran (nationwide),territory,hrana_ir,Human Rights Activists in Iran (HRANA),https://www.en-hrana.org/twelve-days-under-fire-a-comprehensive-report-on-the-iran-israel-war/,human rights monitor,2025-06-28,0.85,1190,4475,,verified,medium,2025,2025-06,7,true,false,false,false,"AGGREGATE (HRANA, 28 Jun 2025): 1,190 killed (436 civilians, 435 military, 319 unconfirmed), 4,475 injured in the Twelve-Day War.","AGGREGATE (HRANA, 28 Jun 2025): 1,190 killed (436 civilians, 435 military, 319 unconfirmed), 4,475 injured in the Twelve-Day War."
28,REC-P100,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-036,phase1_palestine/EVT-036,2025-10-03,Gaza Strip,territory,SRC-P009,Gaza Ministry of Health (MoH),https://www.ochaopt.org/,government health authority,2026-07-13,0.90,67075,169430,,verified,medium,2025,2025-10,8,true,false,false,false,"AGGREGATE (cumulative, reported-by-MoH as of 3 Oct 2025 per Costs of War synthesis): 67,075 killed and 169,430 injured in Gaza since 7 Oct 2023. Recorded as aggregate; not a per-victim count. MoH figures face reporting obstacles and may be an undercount.","AGGREGATE (cumulative, reported-by-MoH as of 3 Oct 2025 per Costs of War synthesis): 67,075 killed and 169,430 injured in Gaza since 7 Oct 2023. Recorded as aggregate; not a per-victim count. MoH figures face reporting obstacles and may be an undercount."
11,evt_030,phase2_sudan,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-030,phase2_sudan/EVT-030,2025-12-31,Khartoum,infrastructure,icrc_sudan,ICRC Sudan Operations and Humanitarian Response,https://www.icrc.org/en/where-we-work/sudan,humanitarian agency,2026-07-02,0.94,,,,verified,high,2025,2025-12,9,false,true,false,false,ICRC reported rehabilitation and donation of water pumps and treatment equipment expected to provide safe water access to approximately 2.4 million people in Khartoum state (ICRC 2025 impact summary).,ICRC reported rehabilitation and donation of water pumps and treatment equipment expected to provide safe water access to approximately 2.4 million people in Khartoum state (ICRC 2025 impact summary).
10,evt_010,phase1_palestine,phase1_palestine,Palestine,Israeli-Palestinian conflict,EVT-010,phase1_palestine/EVT-010,2026-01-01,West Bank - multiple communities,territory,ocha_sitrep_3july,UN OCHA Humanitarian Situation Report | 3 July 2026,https://www.ochaopt.org/content/humanitarian-situation-report-3-july-2026,humanitarian report,2026-07-03,0.95,,,,verified,high,2026,2026-01,10,false,true,false,false,"OCHA reported that between January 2023 and 29 June 2026, more than 6,200 Palestinians (including over 3,000 children) have been displaced due to settler attacks and access restrictions, with over 2,300 people in 2026 alone.","OCHA reported that between January 2023 and 29 June 2026, more than 6,200 Palestinians (including over 3,000 children) have been displaced due to settler attacks and access restrictions, with over 2,300 people in 2026 alone."
