record_id,legacy_record_id,phase,country,conflict_name,event_id,event_date,location,location_type,source_id,fatalities,injuries,missing,arrests,detention,verification_status,confidence_level,notes
1,evt_020,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-020,2026-06-01,Al Obeid and North Kordofan,area,icrc_sudan,,,,,,estimated,high,"ICRC reported that the population of Al Obeid is facing mounting hardship following escalation of hostilities, with months of displacement, uncertainty and repeated disruptions to essential services including safe water, healthcare and other basic needs."
2,evt_021,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-021,2026-07-02,Al Obeid and displacement sites in North Kordofan,area,icrc_sudan,,,,,,verified,high,"ICRC reported that 42,000 people were assisted with a months worth of food across camps and urban settlements in Al Obeid; nutritional supplements distributed to over 7,000 children and pregnant and lactating women."
3,evt_022,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-022,2026-06-15,Al Obeid Teaching Hospital,health facility,icrc_sudan,,,,,,verified,high,"ICRC reported that more than 850 weapon-wounded patients were treated at Al Obeid Teaching Hospital since the beginning of the year, illustrating continued pressure on health services despite ongoing conflict."
4,evt_023,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-023,2026-06-20,Al Obeid displacement sites,camp,icrc_sudan,,,,,,verified,high,"ICRC documented that cholera-prevention and sanitation activities are being conducted for 6,000 displaced households, with cholera-response materials provided to reinforce outbreak preparedness and health access."
5,evt_024,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-024,2026-05-08,Port Sudan to Khartoum humanitarian corridor,infrastructure,icrc_sudan,,,,,,verified,high,ICRC reported that the first RED aircraft flight from Port Sudan to Khartoum since the war began demonstrated critical need for humanitarian air access; aircraft operations shifted to Jeddah base to strengthen humanitarian access.
6,evt_025,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-025,2026-06-01,Al Obeid and North Kordofan,area,icrc_sudan,,,,,,verified,high,"ICRC reported that 36 trained Red Crescent volunteers are deployed across 12 displacement sites in Al Obeid, providing first aid; between April and May, first-aid teams assisted almost 400 people with injuries and medical needs."
7,evt_026,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-026,2026-06-15,Tawila town in North Darfur,area,icrc_sudan,,,,,,verified,high,"ICRC reported that hundreds of displaced families fled hostilities and violence in Al Fasher, seeking shelter in Tawila town; displacement driven by conflict in North Darfur region."
8,evt_027,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-027,2026-06-10,Khartoum,territory,acled_sudan_conf,,,,,,estimated,medium,ACLED reported sustained heavy clashes in Khartoum resulting in large-scale displacement and reports of civilian casualties; exact figures vary across sources.
9,evt_028,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-028,2026-06-12,"El Geneina, West Darfur",area,acled_sudan_conf,,,,,,estimated,medium,"ACLED documented inter-communal violence and clashes in West Darfur (El Geneina), causing displacement and damage to civilian infrastructure."
10,evt_029,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-029,2026-06-18,Gedaref,market area,acled_sudan_conf,,,,,,estimated,medium,"ACLED reported incidents disrupting markets and trade routes in Gedaref, worsening food security and market access for local communities."
11,evt_030,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-030,2025-12-31,Khartoum,infrastructure,icrc_sudan,,,,,,verified,high,ICRC reported rehabilitation and donation of water pumps and treatment equipment expected to provide safe water access to approximately 2.4 million people in Khartoum state (ICRC 2025 impact summary).
12,evt_031,phase2_sudan,Sudan,Sudanese Civil Conflict,EVT-031,2026-07-08,North Darfur displacement cluster,area,acled_sudan_conf,,,,,,estimated,medium,ACLED recorded ongoing displacement movements in North Darfur with new IDP arrivals in Tawila and surrounding towns following renewed clashes.
