role_id,role_label,role_category,parent_category,flag_column,default_civilian,default_combatant,hierarchy_level,description
ROLE-01,child,civilian,protected_person,child_flag,true,false,leaf,"Person under 18 per source. Protected status; combatant only if source explicitly states."
ROLE-02,adult civilian,civilian,protected_person,civilian_flag,true,false,leaf,"Non-combatant aged 18+ with no more specific role stated by the source."
ROLE-03,doctor,healthcare_worker,protected_person,doctor_flag,true,false,leaf,"Licensed physician; only when source states occupation explicitly."
ROLE-04,nurse,healthcare_worker,protected_person,nurse_flag,true,false,leaf,"Nurse; only when source states occupation explicitly."
ROLE-05,medic / paramedic,healthcare_worker,protected_person,medic_flag,true,false,leaf,"Medic, paramedic, or first-aid responder; source-stated only."
ROLE-06,teacher,education,protected_person,teacher_flag,true,false,leaf,"Teacher or education staff; source-stated only."
ROLE-07,student,education,protected_person,student_flag,true,false,leaf,"Enrolled student; source-stated only."
ROLE-08,journalist,media,protected_person,journalist_flag,true,false,leaf,"Journalist or media worker; source-stated only."
ROLE-09,aid worker,humanitarian,protected_person,(none - use organization_affiliation + civilian_flag),true,false,leaf,"Humanitarian/relief worker. No dedicated boolean flag; capture via organization_affiliation and civilian_flag."
ROLE-10,political leader,leadership,actor,leader_flag,false,false,leaf,"Political/civil leadership figure. Civilian vs combatant status is context-dependent; leave ambiguous unless source clarifies."
ROLE-11,military commander,military_leadership,combatant,commander_flag,false,true,leaf,"Senior military commander; combatant. Set both commander_flag and (optionally) leader_flag."
ROLE-12,local commander,military_leadership,combatant,commander_flag,false,true,leaf,"Local/field-level armed commander; combatant."
ROLE-13,fighter / combatant,combatant,combatant,combatant_flag,false,true,leaf,"Armed fighter/combatant explicitly identified by source."
ROLE-14,unknown,unknown,unknown,(none),false,false,leaf,"Role not stated or not verifiable from source. Default when in doubt."
